pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp585,mid,citizens_tier1_usd,5,229377877.02821866,189918765.90909213,132701865.26902187,53480264.930962354,314448147.5010149,33962098.798375115,365248058.32702714
ssp585,mid,citizens_tier2_capacity_usd,5,0.0,-1.1920928955078126e-08,2.665600749850023e-08,-3.5762786865234374e-08,0.0,-5.960464477539063e-08,0.0
ssp585,mid,citizens_tier2_usd,5,124234264.10583134,105249643.70343144,79305919.58966327,26712422.825964443,180993873.95837155,17881356.417271953,216622218.68175617
ssp585,mid,defaulted_premium_base_pct,5,12.728808623935732,10.868492682504229,8.027214409014679,2.9148991963240416,18.563718390188665,2.0417851683394996,22.123993187053227
ssp585,mid,defaults_post,5,6.5745000000000005,5.89144,4.642996047596853,1.4434200000000001,10.447479999999999,1.0127,12.6764
ssp585,mid,defaults_pre,5,10.589733166081285,9.543600627116241,7.550969800034612,2.3484678434874144,16.968067713625867,1.6882916571901168,20.637846189376443
ssp585,mid,diag_group_shortfall_total_usd,5,46447815.48276697,61426342.78695564,68249856.79862896,8410274.172501517,132071994.27238059,6306224.910792559,174737320.40959546
ssp585,mid,diag_groups_fully_funded_share,5,-0.004931644718779937,-0.004927443913530172,0.004281928277013834,-0.00927219634463563,-0.0010784064097360212,-0.011529132272505849,-0.0008127318016105667
ssp585,mid,diag_groups_with_shortfall,5,0.2613771700953337,0.26115452741709894,0.226942198681734,0.05715553971601252,0.49142640626568934,0.04307478548537165,0.6110440104428155
ssp585,mid,fhcf_recovery_citizens_usd,5,416048270.47470486,414918944.1328167,377903082.323425,79433638.7134129,797223095.3454347,63925338.15718764,1002265431.7582926
ssp585,mid,fhcf_recovery_private_usd,5,2569743885.388567,2421039704.464094,2044885548.5197682,533242625.90243566,4466038422.943763,420343953.2038157,5505152017.163366
ssp585,mid,fhcf_scaling_factor,5,-0.051365469758958726,-0.053102341843643174,0.05061347109374301,-0.10382173851347672,-0.010232495889788473,-0.13461210375511867,-0.007366589342692964
ssp585,mid,fhcf_shortfall_usd,5,2139110682.6415277,2360549385.891704,2335957894.1103806,440380667.328525,4722620048.865656,310712766.07027674,6177018321.266637
