model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp585cal,near,ssp585,diag_groups_fully_funded_share,0.9997886792452829,0.9987490566037737,-0.0010396226415092524,-0.0010398423817861583
canesm,ssp585cal,near,ssp585,figa_residual_deficit_usd,128533353.04411279,1542220159.724208,1413686806.6800954,10.998598987726684
canesm,ssp585cal,near,ssp585,figa_collected_usd,11480936.627095373,39804125.747781955,28323189.120686583,2.4669754777535275
canesm,ssp585cal,near,ssp585,citizens_residual_deficit_usd,84389555.4782708,751374526.097979,666984970.6197082,7.903643606600678
canesm,ssp585cal,near,ssp585,citizens_tier1_usd,28514260.862281054,83579235.82836546,55064974.966084406,1.9311380797152242
canesm,ssp585cal,near,ssp585,citizens_tier2_usd,11155768.478832468,38778376.53835377,27622608.059521303,2.476082944167752
canesm,ssp585cal,near,ssp585,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
canesm,ssp585cal,near,ssp585,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
canesm,ssp585cal,near,ssp585,nfip_borrowed_usd,18467646.44827069,321137440.4878832,302669794.03961253,16.38919149158579
canesm,ssp585cal,near,ssp585,nfip_claims_paid_usd,80629474.99125698,562196749.5882598,481567274.59700286,5.972595935285717
canesm,ssp585cal,near,ssp585,nfip_pool_used_usd,62161828.54298628,241059309.10037667,178897480.5573904,2.877931437195076
canesm,ssp585cal,near,ssp585,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
canesm,ssp585cal,near,ssp585,nfip_fl_premium_depletion_usd,44916469.34531452,144266630.14434868,99350160.79903416,2.211887137326788
canesm,ssp585cal,near,ssp585,underinsured_flood_usd,0.0,0.0,0.0,
canesm,ssp585cal,near,ssp585,fhcf_total_precap_usd,137953772.37042728,1394513274.817307,1256559502.4468796,9.10855485033655
canesm,ssp585cal,near,ssp585,fhcf_total_postcap_usd,118576139.06881401,825653036.2643187,707076897.1955047,5.963062237885503
canesm,ssp585cal,near,ssp585,fhcf_shortfall_usd,19377633.301613256,568860238.5529886,549482605.2513754,28.356538525560243
canesm,ssp585cal,near,ssp585,fhcf_scaling_factor,0.9993913920048104,0.9858086167539061,-0.013582775250904344,-0.013591046870692845
canesm,ssp585cal,near,ssp585,fhcf_recovery_private_usd,105929162.48588498,705856384.4790328,599927221.9931477,5.663475552099148
canesm,ssp585cal,near,ssp585,fhcf_recovery_citizens_usd,12646976.582929062,119796651.78528586,107149675.2023568,8.472354993286526
canesm,ssp585cal,near,ssp585,catbond_payout_usd,191737574.02469543,436544428.38567096,244806854.36097553,1.2767808062985344
