model,metric,era5_value,gcm_20thcal_value,bias_absolute,bias_relative
miroc6,flood_un_derinsured_usd,2394397814.7612963,1038579171.124348,-1355818643.636948,-0.5662461915386074
miroc6,wind_insured_private_pct,20.511926737827867,15.937040385360275,-4.574886352467592,-0.22303542767782208
miroc6,wind_insured_citizens_pct,3.6899013245489156,2.430517354557508,-1.2593839699914078,-0.34130559579269115
miroc6,wind_underinsured_pct,10.951058655424745,8.266729957102843,-2.6843286983219024,-0.24512047490424008
miroc6,wind_uninsured_pct,25.378578795587508,19.3110719359917,-6.0675068595958095,-0.2390798518887412
miroc6,flood_insured_capped_pct,2.1724964393234587,1.5226171970742772,-0.6498792422491815,-0.2991393819966681
miroc6,flood_un_derinsured_pct,8.766038047287509,6.888448770887132,-1.8775892764003768,-0.21418904027930413
miroc6,insured_private_wind_pre_usd,5491050988.223578,2289690533.4049416,-3201360454.818637,-0.5830141555204017
miroc6,insured_citizens_wind_pre_usd,1077922754.0709696,429552358.48558825,-648370395.5853813,-0.6014998692037009
miroc6,insured_flood_pre_usd,644954483.8175347,258262322.09539124,-386692161.7221434,-0.5995650412929655
miroc6,defaults_pre,3.4775,1.5012678770666397,-1.9762321229333604,-0.5682910490103121
miroc6,defaults_post,2.1875,0.9297,-1.2578,-0.5749942857142857
miroc6,rescued_defaults,1.29,0.5582716299827569,-0.7317283700172431,-0.5672312945870102
miroc6,group_contrib_total_usd,572184876.4533527,221500356.61369145,-350684519.83966124,-0.6128867334162243
miroc6,group_supported_companies,1.3025,0.56374885891064,-0.73875114108936,-0.5671793789553627
miroc6,defaulted_premium_base_pct,4.590575368681856,2.0196828685009547,-2.5708925001809013,-0.5600370963779886
miroc6,largest_entity_deficit_usd,328194908.3869914,129568834.81557602,-198626073.57141536,-0.6052076631768011
miroc6,diag_group_shortfall_total_usd,6174970.940672383,2639603.796600361,-3535367.144072022,-0.5725317864713808
miroc6,diag_groups_with_shortfall,0.073,0.03002332893802617,-0.04297667106197382,-0.5887215213969017
miroc6,diag_groups_fully_funded_share,0.9986226415094339,0.9994335220955091,0.0008108805860751467,0.0008119989997918411
miroc6,figa_residual_deficit_usd,1292311924.0864177,497504607.30608845,-794807316.7803292,-0.6150274573549319
miroc6,figa_collected_usd,48326314.97494906,21593367.23360718,-26732947.74134188,-0.5531757957377766
miroc6,citizens_residual_deficit_usd,718277468.2344651,274146151.49433416,-444131316.74013096,-0.6183283429895291
miroc6,citizens_tier1_usd,100789599.68242246,45459224.072730444,-55330375.609692015,-0.5489690978437485
miroc6,citizens_tier2_usd,49554667.266172744,20994041.075251345,-28560626.1909214,-0.5763458371643149
miroc6,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
miroc6,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
miroc6,nfip_borrowed_usd,345997559.61779946,123956535.82476068,-222041023.7930388,-0.6417415892710711
miroc6,nfip_claims_paid_usd,644954483.8175347,258262322.09539124,-386692161.7221434,-0.5995650412929655
miroc6,nfip_pool_used_usd,298956924.1997352,132533002.86954618,-166423921.33018905,-0.556681942643349
miroc6,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
miroc6,nfip_fl_premium_depletion_usd,182250316.13919604,82232723.00235152,-100017593.13684452,-0.5487924260194686
miroc6,underinsured_flood_usd,0.0,0.0,0.0,
miroc6,fhcf_total_precap_usd,1311138277.5906637,540815116.381655,-770323161.2090087,-0.5875224409011595
miroc6,fhcf_total_postcap_usd,965536172.7988871,390458746.1957731,-575077426.603114,-0.5956042277899181
miroc6,fhcf_shortfall_usd,345602104.79177666,150356370.18588188,-195245734.60589477,-0.5649437080932399
miroc6,fhcf_scaling_factor,0.9895177457955809,0.995844450714118,0.0063267049185370405,0.006393725575330955
miroc6,fhcf_recovery_private_usd,805045573.3874182,329391151.65993905,-475654421.7274791,-0.5908416087875019
miroc6,fhcf_recovery_citizens_usd,160490599.41146898,61067594.53583413,-99423004.87563485,-0.6194942584813468
miroc6,catbond_payout_usd,511945273.42870957,268388863.5344402,-243556409.89426938,-0.4757469646375895
miroc6,catbond_unfilled_usd,0.0,0.0,0.0,
miroc6,catbond_triggers,3.6528,1.9855969165229739,-1.6672030834770262,-0.45641783932244473
miroc6,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
miroc6,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
