pathway_abs,time_category,metric,era5_baseline_abs,delta_median_abs,delta_p10_abs,delta_p90_abs,scaled_median_abs,scaled_p10_abs,scaled_p90_abs,n_models_abs,pathway_rel,era5_baseline_rel,delta_median_rel,delta_p10_rel,delta_p90_rel,scaled_median_rel,scaled_p10_rel,scaled_p90_rel,n_models_rel,diff_median,diff_median_pct
ssp245,mid,insured_private_wind_pre_usd,5491050988.223578,13038481368.605738,2623592651.098325,16652671976.37055,18529532356.829315,8114643639.321903,22143722964.594128,5,ssp245,5491050988.223578,7.835784409666416,2.4989751193527012,20.44842371427992,48517742714.42927,19213050786.891365,117774388232.13478,5,-29988210357.599953,-61.80875011870947
ssp245,mid,insured_private_wind_pre_usd,5491050988.223578,13038481368.605738,2623592651.098325,16652671976.37055,18529532356.829315,8114643639.321903,22143722964.594128,5,ssp585,5491050988.223578,11.292062279508134,3.0786845376125958,40.2896172829913,67496340727.198906,22396264760.90987,226723393785.14273,5,-48966808370.36959,-72.54735270505932
ssp245,mid,largest_entity_deficit_usd,328194908.3869914,837821289.6024704,171547549.41589725,1136042884.7134018,1166016197.989462,499742457.80288863,1464237793.1003933,5,ssp245,328194908.3869914,9.954063960974008,3.67465904740861,31.825397710916327,3595068018.1371083,1534199297.8046894,10773128394.50074,5,-2429051820.1476464,-67.56622706143769
ssp245,mid,largest_entity_deficit_usd,328194908.3869914,837821289.6024704,171547549.41589725,1136042884.7134018,1166016197.989462,499742457.80288863,1464237793.1003933,5,ssp585,328194908.3869914,14.792800617659186,4.203851622558877,66.61465754793774,5183116751.886678,1707877606.525207,22190786339.56322,5,-4017100553.897216,-77.50357065437457
ssp245,mid,nfip_borrowed_usd,345997559.61779946,641128484.4452325,99702713.1780231,1006294364.5360545,987126044.0630319,445700272.79582256,1352291924.153854,5,ssp245,345997559.61779946,12.200297767232053,4.651074825160406,30.883441684244858,4567270813.6905775,1955258098.7230833,11031593014.965143,5,-3580144769.6275454,-78.38696052127932
ssp245,mid,nfip_borrowed_usd,345997559.61779946,641128484.4452325,99702713.1780231,1006294364.5360545,987126044.0630319,445700272.79582256,1352291924.153854,5,ssp585,345997559.61779946,19.47897998703147,5.362622273502593,71.7399736644031,7085677098.974643,2201451779.401752,25167853374.546474,5,-6098551054.911611,-86.0687125552775
ssp245,mid,nfip_claims_paid_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5,ssp245,644954483.8175347,7.297058430094994,2.237408538261402,17.006835906257734,5351225036.985842,2087981152.700862,11613589557.107506,5,-3445794351.780069,-64.39262651007786
ssp245,mid,nfip_claims_paid_usd,644954483.8175347,1260476201.3882382,210959624.04023254,1683844778.570839,1905430685.2057729,855914107.8577672,2328799262.3883734,5,ssp585,644954483.8175347,11.108394601451254,2.751255042147335,34.70358298215489,7809363390.038017,2419388759.3760586,23027185932.692223,5,-5903932704.832245,-75.60069124665876
ssp245,mid,nfip_fl_premium_base_usd,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5,ssp245,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5,0.0,0.0
ssp245,mid,nfip_fl_premium_base_usd,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5,ssp585,1395853723.0,0.0,0.0,0.0,1395853723.0,1395853723.0,1395853723.0,5,0.0,0.0
ssp245,mid,nfip_fl_premium_depletion_usd,182250316.13919604,355896137.20770013,68628574.54133256,378819733.09737223,538146453.3468962,250878890.68052858,561070049.2365682,5,ssp245,182250316.13919604,3.9126132302728944,1.253296039139982,9.634090006059425,895325314.2868321,410663915.48846,1938066265.4569955,5,-357178860.9399359,-39.893752051950564
