pathway,time_category,metric,n_models,delta_median,delta_mean,delta_std,delta_p10,delta_p90,delta_min,delta_max
ssp585,mid,flood_un_derinsured_usd,5,12.853509926755866,20.009865409594894,18.788483136028173,3.29576776814435,40.383456887306785,2.576573958454861,41.42791507636359
ssp585,mid,group_contrib_total_usd,5,16.81570001027014,38.263221493660204,41.48834191233177,4.900030417076246,84.87353967862387,3.369051107547978,96.49798445489078
ssp585,mid,group_supported_companies,5,7.985138764547896,12.2378097861794,11.210029061382354,2.3459086681989354,24.405608752834258,2.28284478229579,25.066921990171988
ssp585,mid,insured_citizens_wind_pre_usd,5,9.717026176745312,17.36517811938607,16.908898192698704,2.8199829276694297,35.72985292372428,2.3959221137573636,36.13552830284112
ssp585,mid,insured_flood_pre_usd,5,11.108394601451254,17.11152870388988,16.136882329746,2.751255042147335,34.71276513324636,2.1784789404486706,36.24312410052348
ssp585,mid,insured_private_wind_pre_usd,5,11.292062279508134,19.598523429277684,19.076609564426576,3.0786845376125958,40.2896172829913,2.6707378047103676,40.76966156454856
ssp585,mid,largest_entity_deficit_usd,5,14.792800617659186,30.978085706200893,32.09641020679544,4.203851622558877,66.61465754793774,3.200942837444399,70.69634718834808
ssp585,mid,nfip_borrowed_usd,5,19.47897998703147,33.41183935485607,34.896467004635596,5.362622273502593,71.7399736644031,2.628313247142722,87.72423286788792
ssp585,mid,nfip_claims_paid_usd,5,11.108394601451254,17.10693762834415,16.131441432020083,2.751255042147335,34.70358298215489,2.1784789404486706,36.24312410052348
ssp585,mid,nfip_fl_premium_base_usd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssp585,mid,nfip_fl_premium_depletion_usd,5,4.861638257505656,7.184941143126712,6.366074125790195,1.514151975134477,14.108889372408962,1.3637976964557053,14.625274125005683
ssp585,mid,nfip_pool_used_usd,5,5.94902843457353,9.197138991912023,8.426838111349829,1.7798646501441382,18.297717964365695,1.7662609882857618,18.54831903429025
ssp585,mid,rescued_defaults,5,7.850351161534306,11.979838178909613,10.950989070712168,2.3144622143172966,23.883123340068884,2.26149476744186,24.628753538461535
ssp585,mid,total_damage_usd,5,11.423325239432678,19.471733526917603,18.945636824678477,3.0000962384557495,40.02747975511154,2.6378333998414494,40.62936177768434
ssp585,mid,underinsured_wind_usd,5,11.33992489136848,19.47419803572384,19.012399150851536,2.9568981609101215,40.04923860426063,2.5732950223927116,40.395258228959584
ssp585,mid,uninsured_wind_usd,5,11.425927175648782,19.659772645332687,19.193809978398548,2.997852384585201,40.51808252514661,2.5938572931010775,41.239945153528666
ssp585,mid,water_total_usd,5,12.479302635381122,19.415899855719452,18.30358738772666,3.1502609715093994,39.29740247652355,2.5473115524210996,40.490612401311346
ssp585,mid,wind_insured_citizens_pct,5,0.3518519553198125,0.5631315416095724,0.600353919681543,0.008845653370810586,1.18498019045047,-0.212643881441706,1.2541615950920102
ssp585,mid,wind_insured_citizens_usd,5,9.717026176745312,17.36517811938607,16.908898192698704,2.8199829276694297,35.72985292372428,2.3959221137573636,36.13552830284112
